customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6021-['U' 'C' 'K' 'K' 'Q'],Male,1,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,1105.45,No
6085-['W' 'S' 'L' 'O' 'K'],Female,1,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,67.25,2830.11,Yes
3510-['R' 'K' 'Z' 'L' 'B'],Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.81,1361.49,No
5179-['O' 'T' 'D' 'V' 'R'],Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,76.41,1518.10,Yes
4237-['W' 'Z' 'S' 'K' 'X'],Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),77.52,1930.77,Yes
9314-['H' 'K' 'E' 'R' 'W'],Female,1,No,Yes,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),79.87,5211.45,No
1561-['N' 'V' 'J' 'C' 'I'],Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,72.18,700.48,Yes
4554-['K' 'L' 'L' 'C' 'U'],Male,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),82.8,1904.29,Yes
8095-['K' 'G' 'Y' 'U' 'J'],Female,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,73.89, ,Yes
6330-['P' 'V' 'U' 'T' 'L'],Male,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.7,1012.94,No
8647-['R' 'W' 'M' 'E' 'D'],Female,0,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),89.61,6010.70,No
9712-['Y' 'S' 'C' 'E' 'U'],Female,0,Yes,No,0,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.29, ,Yes
8111-['S' 'Q' 'Q' 'K' 'B'],Male,0,Yes,No,48,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,52.21,2509.61,No
2541-['V' 'N' 'C' 'L' 'D'],Female,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.68,1258.50,No
4083-['M' 'B' 'B' 'O' 'W'],Female,0,No,No,35,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),84.1,2935.08,Yes
3972-['Q' 'G' 'N' 'L' 'Q'],Female,0,Yes,No,15,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,85.19,1316.03,Yes
6463-['F' 'R' 'X' 'E' 'X'],Male,1,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.2,1505.37,No
2313-['H' 'O' 'O' 'K' 'V'],Female,0,No,No,1,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.69,81.30,Yes
9949-['X' 'A' 'R' 'L' 'L'],Male,0,No,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,78.61,565.94,Yes
6432-['K' 'H' 'G' 'W' 'U'],Female,0,Yes,Yes,68,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,86.01,5809.09,Yes
8637-['J' 'C' 'T' 'J' 'R'],Male,1,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,73.79,1009.59,Yes
8373-['R' 'X' 'H' 'J' 'V'],Male,0,Yes,Yes,66,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.7,3663.91,Yes
4308-['U' 'H' 'D' 'D' 'E'],Female,1,No,No,17,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,67.62,1141.93,Yes
1992-['Q' 'B' 'H' 'G' 'O'],Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,54.78,3564.80,No
6560-['E' 'B' 'G' 'H' 'G'],Female,0,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,1026.42,No
3523-['N' 'U' 'R' 'F' 'D'],Male,1,No,No,32,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),57.48,1827.51,No
6609-['R' 'L' 'P' 'Y' 'G'],Female,0,No,No,38,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),92.19,3472.74,Yes
2220-['C' 'L' 'O' 'J' 'Z'],Female,0,No,No,5,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.23,370.49,Yes
7035-['S' 'P' 'K' 'H' 'C'],Female,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),90.01,283.26,Yes
2724-['G' 'N' 'B' 'J' 'S'],Female,0,Yes,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,91.2,5390.74,No
3105-['I' 'P' 'S' 'R' 'I'],Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,1230.05,No
5911-['M' 'J' 'Y' 'T' 'N'],Male,0,No,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),78.51,4641.54,Yes
4110-['W' 'O' 'P' 'H' 'J'],Male,0,No,Yes,69,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),66.1,4538.32,No
2214-['D' 'S' 'S' 'U' 'O'],Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),80.56,5454.65,No
6024-['P' 'J' 'S' 'V' 'C'],Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),74.9,4803.06,Yes
6988-['I' 'R' 'K' 'P' 'B'],Male,1,No,Yes,69,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,55.68,3809.40,No
4845-['K' 'H' 'L' 'B' 'I'],Male,0,Yes,No,5,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,48.23,247.55,Yes
8937-['A' 'J' 'B' 'L' 'W'],Male,1,Yes,No,60,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),65.71,3954.30,Yes
1711-['E' 'V' 'A' 'O' 'F'],Male,0,Yes,Yes,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.16,1276.20,No
2259-['H' 'M' 'S' 'A' 'K'],Male,0,No,Yes,4,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.73,218.23,Yes
7643-['A' 'H' 'E' 'Q' 'H'],Male,0,No,Yes,69,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.16,5031.69,Yes
8777-['I' 'X' 'W' 'C' 'R'],Female,0,No,Yes,0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),36.66, ,Yes
2222-['O' 'U' 'V' 'T' 'R'],Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,82.21,2317.66,Yes
8490-['W' 'N' 'X' 'B' 'N'],Female,0,Yes,Yes,0,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,58.37, ,No
6127-['G' 'K' 'C' 'Q' 'N'],Male,0,No,Yes,38,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Electronic check,56.57,2146.04,No
5133-['H' 'V' 'E' 'H' 'B'],Female,0,Yes,No,26,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),48.9,1245.87,No
8246-['L' 'Q' 'A' 'O' 'N'],Male,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,71.77,3470.09,Yes
3355-['V' 'P' 'I' 'A' 'Q'],Female,0,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.87,1512.53,No
5060-['M' 'U' 'Z' 'U' 'E'],Male,0,Yes,No,63,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,44.94,2843.12,No
4845-['X' 'S' 'Y' 'M' 'A'],Female,0,No,Yes,59,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),60.98,3597.67,No
7382-['N' 'H' 'J' 'I' 'Q'],Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.68,46.68,No
9424-['C' 'K' 'L' 'J' 'Y'],Male,1,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.6,637.48,No
9880-['Q' 'Y' 'K' 'V' 'D'],Female,1,No,No,66,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,89.54,5906.91,No
4622-['U' 'Z' 'N' 'G' 'X'],Female,0,Yes,No,52,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,49.84,2567.74,No
4431-['A' 'X' 'V' 'D' 'L'],Male,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,998.32,No
3892-['T' 'F' 'K' 'W' 'D'],Female,0,No,No,8,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),61.84,492.86,Yes
4718-['V' 'K' 'X' 'A' 'Z'],Male,0,No,Yes,17,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,48.74,843.58,No
6212-['G' 'L' 'G' 'W' 'G'],Male,1,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),74.77,5222.31,No
5335-['Z' 'H' 'I' 'I' 'B'],Male,0,No,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.04,1671.19,No
6494-['D' 'Y' 'X' 'L' 'Q'],Male,0,Yes,Yes,5,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),49.99,257.04,Yes
7273-['M' 'R' 'O' 'H' 'O'],Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,719.94,No
2568-['T' 'J' 'L' 'E' 'I'],Male,0,Yes,Yes,34,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),56.69,1917.10,Yes
8903-['P' 'N' 'Y' 'M' 'W'],Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.81,581.03,No
2054-['E' 'P' 'Z' 'K' 'V'],Female,0,No,Yes,32,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.87,2767.83,Yes
1667-['K' 'Y' 'S' 'C' 'O'],Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.36,994.61,No
5070-['G' 'F' 'C' 'M' 'G'],Female,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.53,1399.08,No
4620-['W' 'R' 'V' 'H' 'Q'],Male,0,No,No,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.66,1804.89,No
2075-['A' 'N' 'Q' 'J' 'L'],Female,0,No,No,68,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,69.57,4758.24,No
9047-['N' 'P' 'H' 'W' 'J'],Male,0,Yes,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.34,1392.11,No
8548-['Q' 'R' 'T' 'P' 'Q'],Female,0,No,Yes,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,79.85, ,Yes
2231-['S' 'X' 'X' 'H' 'F'],Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.39,2602.01,Yes
3908-['I' 'D' 'Z' 'L' 'L'],Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.59,729.59,No
5598-['Q' 'O' 'I' 'G' 'J'],Female,0,No,No,67,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),64.17,4302.00,No
3735-['L' 'Y' 'G' 'R' 'O'],Female,0,Yes,No,69,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,84.56,5836.88,No
1223-['F' 'Z' 'L' 'K' 'T'],Female,0,No,No,30,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.26,2336.13,Yes
1225-['F' 'X' 'V' 'Y' 'E'],Female,0,No,No,14,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,49.04,691.91,No
9401-['P' 'H' 'Y' 'Z' 'T'],Male,0,Yes,Yes,18,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),43.33,784.88,No
7558-['K' 'J' 'X' 'Y' 'L'],Female,0,Yes,No,44,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,77.65,3411.34,No
9795-['F' 'T' 'E' 'W' 'I'],Male,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),54.5,594.60,Yes
4385-['P' 'V' 'N' 'V' 'H'],Female,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,1260.58,No
3835-['S' 'N' 'G' 'E' 'R'],Female,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.55,513.22,No
9353-['K' 'V' 'H' 'A' 'V'],Male,0,Yes,No,71,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,57.94,4116.16,No
2963-['B' 'R' 'G' 'Z' 'Q'],Female,0,Yes,No,3,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,49.7,164.07,Yes
4061-['W' 'N' 'X' 'G' 'V'],Male,0,Yes,Yes,6,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),55.65,314.78,Yes
9101-['T' 'B' 'Q' 'L' 'L'],Male,0,No,No,37,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,71.77,2672.67,No
5607-['R' 'M' 'L' 'Q' 'D'],Female,0,No,No,68,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,82.18,5577.01,No
2726-['W' 'J' 'K' 'F' 'F'],Male,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),79.54,1589.96,Yes
5584-['O' 'B' 'D' 'E' 'Q'],Female,0,Yes,No,66,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,55.88,3701.44,Yes
5647-['S' 'C' 'R' 'U' 'S'],Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.94,2181.24,Yes
4391-['S' 'O' 'F' 'P' 'H'],Male,0,No,No,67,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,78.0,5234.24,Yes
3739-['P' 'K' 'G' 'Q' 'Q'],Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,187.06,No
1877-['W' 'A' 'Q' 'D' 'U'],Female,0,No,No,32,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),81.64,2619.75,No
1292-['T' 'X' 'W' 'Y' 'G'],Female,0,No,No,12,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),94.44,1144.31,No
3686-['J' 'Q' 'G' 'A' 'G'],Male,0,Yes,No,7,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Electronic check,47.35,322.95,No
1889-['X' 'K' 'I' 'L' 'C'],Male,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),93.05,2514.33,No
5542-['D' 'D' 'Y' 'M' 'W'],Male,0,No,No,18,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,57.4,1037.09,Yes
5690-['J' 'E' 'G' 'X' 'P'],Female,0,Yes,No,64,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,79.85,5106.72,Yes
8520-['L' 'B' 'G' 'K' 'M'],Male,0,No,Yes,62,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,46.24,2857.98,No
8710-['B' 'G' 'O' 'Y' 'K'],Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,360.38,No
1028-['B' 'P' 'G' 'M' 'E'],Female,0,No,Yes,71,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,57.19,4058.80,No
6755-['S' 'G' 'F' 'H' 'M'],Male,1,No,Yes,71,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),85.44,6066.70,Yes
7372-['B' 'I' 'K' 'X' 'F'],Female,1,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,1263.67,No
1572-['Z' 'G' 'Y' 'G' 'S'],Female,0,Yes,Yes,45,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,71.5,3219.58,No
1325-['K' 'K' 'G' 'B' 'S'],Female,0,Yes,No,26,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),67.85,1758.79,No
2721-['F' 'Q' 'Y' 'E' 'G'],Male,0,No,No,15,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,58.17,866.61,Yes
4808-['A' 'S' 'F' 'R' 'J'],Male,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.8, ,No
1091-['K' 'A' 'A' 'M' 'E'],Male,0,No,No,50,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,54.68,2742.97,No
9128-['T' 'C' 'R' 'I' 'N'],Female,0,Yes,No,41,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),75.3,3090.86,Yes
9990-['Q' 'W' 'N' 'D' 'E'],Female,0,Yes,No,50,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),41.61,2083.26,No
8065-['U' 'Q' 'V' 'Y' 'B'],Male,0,Yes,Yes,44,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,44.84,1969.21,No
6622-['V' 'E' 'D' 'D' 'F'],Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,57.19,No
6780-['M' 'V' 'E' 'W' 'Y'],Male,0,No,Yes,57,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,87.59,4990.00,No
1665-['W' 'G' 'T' 'A' 'N'],Female,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.05,402.66,No
2079-['D' 'Q' 'U' 'N' 'P'],Male,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,68.61,2527.71,No
8951-['X' 'T' 'H' 'X' 'C'],Male,1,Yes,No,21,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),58.43,1270.97,Yes
8233-['O' 'V' 'J' 'R' 'V'],Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),68.27, ,Yes
7256-['M' 'A' 'E' 'Z' 'M'],Male,0,No,Yes,68,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),50.47,3446.64,No
7554-['Y' 'N' 'X' 'C' 'O'],Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,72.46,No
5798-['N' 'L' 'L' 'K' 'Q'],Male,0,Yes,No,44,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,57.98,2559.06,No
3855-['Q' 'U' 'Y' 'W' 'T'],Male,0,No,No,68,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),52.34,3560.60,No
5543-['K' 'Y' 'Y' 'B' 'J'],Male,0,Yes,No,7,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,45.9,318.94,Yes
2353-['K' 'F' 'D' 'X' 'L'],Female,0,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),61.92,1635.64,No
3934-['W' 'Z' 'Y' 'M' 'E'],Male,1,No,Yes,22,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,65.99,1455.30,No
9325-['A' 'F' 'R' 'V' 'I'],Male,1,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.27,25.51,No
4671-['Y' 'O' 'Z' 'H' 'S'],Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,77.96,2108.66,Yes
9444-['F' 'V' 'C' 'J' 'A'],Male,1,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),73.95,2441.94,No
6435-['N' 'D' 'Z' 'L' 'F'],Male,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25, ,Yes
4241-['R' 'G' 'G' 'K' 'D'],Female,0,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.79,841.82,No
2587-['A' 'M' 'R' 'I' 'Z'],Male,0,No,No,2,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),51.92,109.55,No
6783-['I' 'W' 'I' 'J' 'B'],Female,0,Yes,No,68,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,74.32,5050.10,No
4301-['O' 'C' 'K' 'F' 'C'],Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.17,968.64,No
2079-['K' 'O' 'M' 'T' 'J'],Female,1,Yes,No,1,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),70.09,78.32,Yes
8982-['Y' 'R' 'R' 'G' 'O'],Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.8,1497.40,No
4985-['R' 'T' 'I' 'X' 'B'],Male,1,No,Yes,21,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),76.89,1612.19,Yes
6991-['T' 'B' 'K' 'Z' 'G'],Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,79.19,630.83,Yes
3653-['J' 'E' 'K' 'A' 'B'],Male,0,Yes,No,9,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),59.09,540.59,No
5864-['S' 'B' 'U' 'T' 'W'],Female,0,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.06,978.36,No
3196-['X' 'D' 'L' 'V' 'T'],Male,1,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,27.21,No
2309-['A' 'X' 'N' 'D' 'E'],Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,83.01,92.29,Yes
9215-['W' 'M' 'P' 'X' 'M'],Male,0,Yes,Yes,49,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,83.39,4074.98,No
3711-['V' 'Z' 'B' 'P' 'F'],Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,88.03,6273.44,No
1946-['C' 'K' 'E' 'Q' 'Z'],Male,0,Yes,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.86,692.37,No
2308-['K' 'C' 'T' 'J' 'J'],Male,0,Yes,No,26,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,45.4,1189.14,Yes
5811-['O' 'J' 'J' 'Z' 'S'],Female,0,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.66,1308.76,No
5480-['X' 'Z' 'J' 'B' 'Q'],Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),63.72,521.26,Yes
